model,persona,alpha,seed,layer_idx,D_raw
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,-1.0,1,16,0.6
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,-1.0,2,16,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,-1.0,2,16,0.65
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,-3.0,0,16,0.75
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,-3.0,0,16,0.55
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,-3.0,1,16,0.6
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,-3.0,1,16,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,-3.0,2,16,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,-3.0,2,16,0.6
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,0.0,0,24,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,0.0,0,24,0.65
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,0.0,1,24,0.85
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,0.0,1,24,0.55
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,0.0,2,24,0.8
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,0.0,2,24,0.6
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,1.0,0,24,0.65
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,1.0,0,24,0.55
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,1.0,1,24,0.8
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,1.0,1,24,0.6
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,1.0,2,24,0.9
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,1.0,2,24,0.55
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,3.0,0,24,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,3.0,0,24,0.65
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,3.0,1,24,0.75
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,3.0,1,24,0.65
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,3.0,2,24,0.65
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,3.0,2,24,0.6
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,-1.0,0,24,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,-1.0,0,24,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,-1.0,1,24,0.6
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,-1.0,1,24,0.6
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,-1.0,2,24,0.75
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,-1.0,2,24,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,-3.0,0,24,0.65
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,-3.0,0,24,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,-3.0,1,24,0.75
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,-3.0,1,24,0.6
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,-3.0,2,24,0.55
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,-3.0,2,24,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,0.0,0,8,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,0.0,0,8,0.65
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,0.0,1,8,0.85
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,0.0,1,8,0.55
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,0.0,2,8,0.8
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,0.0,2,8,0.6
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,1.0,0,8,0.65
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,1.0,0,8,0.6
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,1.0,1,8,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,1.0,1,8,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,1.0,2,8,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,1.0,2,8,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,3.0,0,8,0.8
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,3.0,0,8,0.55
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,3.0,1,8,0.75
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,3.0,1,8,0.5
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,3.0,2,8,0.75
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,3.0,2,8,0.6
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,-1.0,0,8,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,-1.0,0,8,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,-1.0,1,8,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,-1.0,1,8,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,-1.0,2,8,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,-1.0,2,8,0.65
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,-3.0,0,8,0.7
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,-3.0,0,8,0.75
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,-3.0,1,8,0.85
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,-3.0,1,8,0.75
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_integrity,-3.0,2,8,0.85
meta-llama/Meta-Llama-3.1-8B-Instruct,virtue_phronesis,-3.0,2,8,0.7
